Justice,Justice_1,Justice_2,State[c],Position,Succeeded,Date confirmed(Vote),Tenure,Tenure length[d],Nominated by
54,54,54,TN,AssociateJustice,L. Lamar,"February 18, 1893(Acclamation)","March 4, 1893–August 8, 1895(Died)","2 years, 157 days",Benjamin Harrison
55,55,55,LA,AssociateJustice,Blatchford,"February 19, 1894(Acclamation)","March 12, 1894–December 18, 1910(Continued as chief justice)","16 years, 281 days",Grover Cleveland
56,56,56,NY,AssociateJustice,H. Jackson,"December 9, 1895(Acclamation)","January 6, 1896–October 24, 1909(Died)","13 years, 291 days",Grover Cleveland
57,57,57,CA,AssociateJustice[h],Field,"January 21, 1898(Acclamation)","January 26, 1898–January 5, 1925(Retired)","26 years, 345 days",William McKinley
58,58,58,MA,AssociateJustice[i],Gray,"December 4, 1902(Acclamation)","December 8, 1902–January 12, 1932(Retired)","29 years, 35 days",Theodore Roosevelt
59,59,59,OH,AssociateJustice,Shiras,"February 23, 1903(Acclamation)","March 2, 1903–November 13, 1922(Retired)","19 years, 256 days",Theodore Roosevelt
60,60,60,MA,AssociateJustice,Brown,"December 12, 1906(Acclamation)","December 17, 1906–November 20, 1910(Retired)","3 years, 338 days",Theodore Roosevelt
61,61,61,TN,AssociateJustice,Peckham,"December 20, 1909(Acclamation)","January 3, 1910–July 12, 1914(Died)","4 years, 204 days",William Howard Taft
62,62,62,NY,AssociateJustice,Brewer,"May 2, 1910(Acclamation)","October 10, 1910–June 10, 1916(Resigned)","5 years, 244 days",William Howard Taft
55,55,55,LA,ChiefJustice,Fuller,"December 12, 1910(Acclamation)","December 19, 1910–May 19, 1921(Died)","10 years, 151 days",William Howard Taft
63,63,63,WY,AssociateJustice,E. D. White,"December 15, 1910(Acclamation)","January 3, 1911[j]–June 2, 1937(Retired)","26 years, 150 days",William Howard Taft
64,64,64,GA,AssociateJustice,Moody,"December 15, 1910(Acclamation)","January 3, 1911[j]–January 2, 1916(Died)","4 years, 364 days",William Howard Taft
65,65,65,NJ,AssociateJustice,J. Harlan,"March 13, 1912(50–26)","March 18, 1912–December 31, 1922(Resigned)","10 years, 288 days",William Howard Taft
66,66,66,TN,AssociateJustice,Lurton,"August 29, 1914(44–6)","October 12, 1914–January 31, 1941(Retired)","26 years, 111 days",Woodrow Wilson
67,67,67,KY,AssociateJustice,J. Lamar,"June 1, 1916(47–22)","June 5, 1916–February 13, 1939(Retired)","22 years, 253 days",Woodrow Wilson
68,68,68,OH,AssociateJustice,Hughes,"July 24, 1916(Acclamation)","October 9, 1916–September 18, 1922(Retired)","5 years, 344 days",Woodrow Wilson
69,69,69,CT,ChiefJustice,E. D. White,"June 30, 1921(Acclamation)","July 11, 1921–February 3, 1930(Retired)","8 years, 207 days",Warren G. Harding
70,70,70,UT,AssociateJustice,Clarke,"September 5, 1922(Acclamation)","October 2, 1922–January 17, 1938(Retired)","15 years, 107 days",Warren G. Harding
71,71,71,MN,AssociateJustice,Day,"December 21, 1922(61–8)","January 2, 1923–November 16, 1939(Died)","16 years, 318 days",Warren G. Harding
72,72,72,TN,AssociateJustice,Pitney,"January 29, 1923(Acclamation)","February 19, 1923–March 8, 1930(Died)","7 years, 17 days",Warren G. Harding
73,73,73,NY,AssociateJustice[k],McKenna,"February 5, 1925(71–6)","March 2, 1925–July 2, 1941(Continued as chief justice)","16 years, 122 days",Calvin Coolidge
62,62,62,NY,ChiefJustice,Taft,"February 13, 1930(52–26)","February 24, 1930–June 30, 1941(Retired)","11 years, 126 days",Herbert Hoover
74,74,74,PA,AssociateJustice,Sanford,"May 20, 1930(Acclamation)","June 2, 1930–July 31, 1945(Resigned)","15 years, 59 days",Herbert Hoover
75,75,75,NY,AssociateJustice,Holmes,"February 24, 1932(Acclamation)","March 14, 1932–July 9, 1938(Died)","6 years, 117 days",Herbert Hoover
76,76,76,AL,AssociateJustice[l],Van Devanter,"August 17, 1937(63–16)","August 19, 1937–September 17, 1971(Retired)","34 years, 29 days",Franklin D. Roosevelt
77,77,77,KY,AssociateJustice,Sutherland,"January 25, 1938(Acclamation)","January 31, 1938–February 25, 1957(Retired)","19 years, 25 days",Franklin D. Roosevelt
78,78,78,MA,AssociateJustice,Cardozo,"January 17, 1939(Acclamation)","January 30, 1939–August 28, 1962(Retired)","23 years, 210 days",Franklin D. Roosevelt
79,79,79,CT,AssociateJustice,Brandeis,"April 4, 1939(62–4)","April 17, 1939–November 12, 1975(Retired)","36 years, 211 days",Franklin D. Roosevelt
80,80,80,MI,AssociateJustice,Butler,"January 16, 1940(Acclamation)","February 5, 1940–July 19, 1949(Died)","9 years, 164 days",Franklin D. Roosevelt
73,73,73,NY,ChiefJustice,Hughes,"June 27, 1941(Acclamation)","July 3, 1941–April 22, 1946 (Died)","4 years, 293 days",Franklin D. Roosevelt
81,81,81,SC,AssociateJustice,McReynolds,"June 12, 1941(Acclamation)","July 8, 1941–October 3, 1942(Resigned)","1 year, 87 days",Franklin D. Roosevelt
82,82,82,NY,AssociateJustice,Stone,"July 7, 1941(Acclamation)","July 11, 1941–October 9, 1954(Died)","13 years, 90 days",Franklin D. Roosevelt
83,83,83,IA,AssociateJustice,Byrnes,"February 8, 1943(Acclamation)","February 15, 1943–September 10, 1949(Died)","6 years, 207 days",Franklin D. Roosevelt
84,84,84,OH,AssociateJustice,O. Roberts,"September 19, 1945(Acclamation)","October 1, 1945–October 13, 1958(Retired)","13 years, 12 days",Harry S. Truman
85,85,85,KY,ChiefJustice,Stone,"June 20, 1946(Acclamation)","June 24, 1946–September 8, 1953 (Died)","7 years, 76 days",Harry S. Truman
86,86,86,TX,AssociateJustice,Murphy,"August 18, 1949(73–8)","August 24, 1949–June 12, 1967(Retired)","17 years, 292 days",Harry S. Truman
87,87,87,IN,AssociateJustice,W. Rutledge,"October 4, 1949(48–16)","October 12, 1949–October 15, 1956(Retired)","7 years, 3 days",Harry S. Truman
88,88,88,CA,ChiefJustice,Vinson,"March 1, 1954(Acclamation)","October 5, 1953[e]–June 23, 1969(Retired)","15 years, 261 days",Dwight D. Eisenhower
89,89,89,NY,AssociateJustice,R. Jackson,"March 16, 1955(71–11)","March 28, 1955–September 23, 1971(Retired)","16 years, 179 days",Dwight D. Eisenhower
90,90,90,NJ,AssociateJustice,Minton,"March 19, 1957(Acclamation)","October 16, 1956[e]–July 20, 1990(Retired)","33 years, 277 days",Dwight D. Eisenhower
91,91,91,MO,AssociateJustice,Reed,"March 19, 1957(Acclamation)","March 25, 1957–March 31, 1962(Retired)","5 years, 6 days",Dwight D. Eisenhower
92,92,92,OH,AssociateJustice,Burton,"May 5, 1959(70–17)","October 14, 1958[e]–July 3, 1981(Retired)","22 years, 262 days",Dwight D. Eisenhower
93,93,93,CO,AssociateJustice,Whittaker,"April 11, 1962(Acclamation)","April 16, 1962–June 28, 1993(Retired)","31 years, 73 days",John F. Kennedy
94,94,94,IL,AssociateJustice,Frankfurter,"September 25, 1962(Acclamation)","October 1, 1962–July 25, 1965(Resigned)","2 years, 300 days",John F. Kennedy
95,95,95,TN,AssociateJustice,Goldberg,"August 11, 1965(Acclamation)","October 4, 1965–May 14, 1969(Resigned)","3 years, 222 days",Lyndon B. Johnson
96,96,96,NY,AssociateJustice,Clark,"August 30, 1967(69–11)","October 2, 1967–October 1, 1991(Retired)","23 years, 364 days",Lyndon B. Johnson
97,97,97,VA,ChiefJustice,Warren,"June 9, 1969(74–3)","June 23, 1969–September 26, 1986(Retired)","17 years, 95 days",Richard Nixon
98,98,98,MN,AssociateJustice,Fortas,"May 12, 1970(94–0)","June 9, 1970–August 3, 1994(Retired)","24 years, 55 days",Richard Nixon
